                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89745,                 11.806,                0.26844,                0.36957,                0.32387,                0.29759,                0.13802,                0.52954,                 1.3551,                0.17311,              0.0099977,              0.0099977,              0.0099977
                      2,                0.92238,                0.80661,                0.22737,                0.48495,                0.45095,                0.43649,                0.17097,                0.63058,                0.93488,                0.20145,               0.009505,               0.009505,               0.009505
                      3,                0.93071,                0.77708,                0.23128,                0.54221,                0.52028,                0.53579,                0.22432,                0.53229,                0.96603,                 0.1813,               0.009505,               0.009505,               0.009505
                      4,                0.84907,                0.76903,                 0.1992,                0.68331,                0.51561,                0.61583,                0.28894,                0.50696,                0.79493,                0.17085,                0.00901,                0.00901,                0.00901
                      5,                0.83881,                 0.7498,                0.19655,                0.68286,                0.60396,                0.66744,                0.33091,                0.44056,                0.84316,                0.14492,               0.008515,               0.008515,               0.008515
                      6,                0.78081,                0.76386,                0.18056,                0.70768,                0.64084,                0.69975,                0.35329,                0.44856,                0.79511,                0.14962,                0.00802,                0.00802,                0.00802
                      7,                0.77108,                0.73081,                0.17488,                0.67989,                0.70454,                0.72825,                0.36437,                0.44497,                 0.7484,                0.14613,               0.007525,               0.007525,               0.007525
                      8,                0.74822,                0.73501,                0.16864,                0.70591,                0.68973,                0.73738,                 0.3578,                0.45501,                0.72989,                 0.1489,                0.00703,                0.00703,                0.00703
                      9,                0.72153,                0.73641,                0.16336,                0.73672,                0.70709,                0.76001,                 0.3699,                0.44442,                0.69715,                0.14582,               0.006535,               0.006535,               0.006535
                     10,                0.71778,                0.71293,                0.16147,                0.73808,                0.68329,                0.75134,                0.38728,                0.42434,                0.68382,                0.14114,                0.00604,                0.00604,                0.00604
                     11,                 0.6574,                0.65694,                0.15005,                0.76061,                0.67126,                0.75248,                 0.3903,                0.42004,                0.66454,                 0.1371,               0.005545,               0.005545,               0.005545
                     12,                0.64838,                0.65055,                0.15078,                0.71057,                0.73135,                0.75562,                0.39663,                 0.4092,                0.68379,                0.13208,                0.00505,                0.00505,                0.00505
                     13,                0.64083,                0.65742,                 0.1476,                 0.7072,                0.72798,                0.76064,                0.39683,                0.40295,                0.68417,                0.13057,               0.004555,               0.004555,               0.004555
                     14,                0.67124,                0.62477,                0.15066,                0.73318,                0.71513,                0.76598,                0.39278,                0.41967,                0.66997,                0.13559,                0.00406,                0.00406,                0.00406
                     15,                0.65646,                0.60036,                0.14646,                0.73789,                  0.713,                0.76051,                0.38871,                0.41782,                0.67331,                0.13523,               0.003565,               0.003565,               0.003565
                     16,                0.62618,                0.58709,                0.14138,                0.73657,                0.72428,                0.76364,                0.39904,                0.40695,                0.66574,                0.13354,                0.00307,                0.00307,                0.00307
                     17,                0.49997,                0.58392,                0.11718,                0.72925,                0.71948,                0.76144,                0.37938,                0.45493,                0.64978,                0.14093,               0.002575,               0.002575,               0.002575
                     18,                0.46473,                0.57659,                0.11204,                0.73848,                0.71913,                0.76473,                0.37624,                0.46261,                0.65423,                0.14058,                0.00208,                0.00208,                0.00208
                     19,                0.47055,                0.55985,                0.11029,                0.74195,                0.72379,                0.76641,                0.38313,                0.45844,                 0.6576,                0.14209,               0.001585,               0.001585,               0.001585
                     20,                0.43349,                0.55169,                0.10392,                0.73237,                0.72364,                0.75859,                0.40415,                0.42154,                0.66744,                0.13644,                0.00109,                0.00109,                0.00109
